Year,ID,City,Internet Penetration Rate,Internet-Related Output,Internet Users,Internet-Related Employees,Digital Inclusive Finance Index,Digital Economy Index,Population,GDP,Urbanization Rate,City Size,City Development Level,Industry Agglomeration Level,Environmental Pollution Index,Low-Carbon City,Carbon Peak City,AI-Pilot City,AI Technology Level,Smart City,Intelligent Construction City,AI Enterprises,AI Infrastructure Index,Intelligent Manufacturing Proportion,AI Patents,Total Energy Consumption,AI Development Index
2001,2,天津市,7.500186,680.35843,23.466597,0.0,321.31,-80.46734908,913.98,1744.63,0.875,1,1,0.01613255,0.192,0,0,0,0.0,0,0,104,0.032168115,0.179758363,104,241615.7598,0.048099823
2002,2,天津市,13.598727,890.45645,33.338774,0.0,334.88,129.8922887,919.05,1922.582,0.875,1,1,0.015562081,0.192,0,0,0,0.0,0,0,130,0.033916648,0.112871233,87,262030.9296,0.048121706
2003,2,天津市,22.092127,1152.6274,41.394168,0.00806241,357.04,392.233958,926.0,2159.059,0.5937,1,1,0.016024329,0.322,0,0,0,0.0,0,0,164,0.03566518,0.204250531,98,293413.2435,0.049443392
2004,2,天津市,28.683717,1474.9429,45.393813,0.00984993,396.12,714.5074438,932.55,2452.691,0.5964,1,1,0.016267617,0.304,0,0,0,0.0,0,0,206,0.037413713,0.268768177,139,342904.7639,0.051209925
2005,2,天津市,22.076045,1757.0674,53.5393,0.01251803,395.34,996.683269,939.31,2751.92,0.7511,1,1,0.016289335,0.354,0,0,0,0.69314718,0,0,243,0.039162245,0.333563032,135,415177.0137,0.054948984
2006,2,天津市,24.117653,2257.5335,63.39934,0.01179487,408.03,1497.164313,948.89,3079.123,0.7572,1,1,0.01635906,0.33,0,0,0,1.0986123,0,0,297,0.035129933,0.195144418,152,449617.572,0.055565103
2007,2,天津市,26.054635,2977.0014,76.947138,0.01188692,420.82,2216.622737,959.1,3473.251,0.7632,1,1,0.01702551,0.327,0,0,0,1.0986123,0,0,350,0.041864051,0.247442387,333,500731.4033,0.061033609
2008,2,天津市,47.599781,3453.9205,84.371484,0.01261153,410.97,2693.621166,968.87,3949.086,0.7721,1,1,0.016829698,0.345,0,0,0,1.9459101,0,0,411,0.053392456,0.328571444,450,519298.2204,0.0702229
2009,2,天津市,54.436439,3671.6199,101.29409,0.01229854,432.61,2911.849744,979.84,4494.06,0.7802,1,1,0.017147109,0.338,0,0,0,1.6094379,0,0,500,0.058379845,0.473448118,453,557556.7602,0.071540767
2010,2,天津市,17.671727,4133.929,110.63208,0.01089229,457.81,3373.905236,984.85,5141.205,0.7957,1,1,0.017252517,0.365,1,0,0,2.5649494,0,0,585,0.049871001,1.230506478,689,592402.9796,0.081512491
2011,2,天津市,19.087716,1596.7483,123.91208,0.00775425,502.1,839.1374887,996.4,5831.154,0.805,1,1,0.022809524,0.134,1,0,1,3.2958369,0,0,709,0.036422627,1.281168719,914,578154.1552,0.086021514
2012,2,天津市,21.546516,1609.6859,131.22634,0.01131097,996.44,852.360978,993.2,6490.075,0.8156,1,1,0.024259461,0.113,1,0,1,3.4965076,1,0,845,0.040344432,1.34699992,1103,615408.9836,0.092381887
2013,2,天津市,18.7251,1647.1464,131.78785,0.01180556,996.37,889.7946375,1004.0,7145.572,0.82,1,1,0.025375514,0.144,1,0,1,3.8286414,1,0,1030,0.038938847,1.409007211,1798,581630.3414,0.106945971
2014,2,天津市,99.734435,132.6527,132.97925,0.01283504,2121.74,-622.9419942,1016.7,7681.49,0.8227,1,1,0.025170764,0.3,1,0,1,3.7135721,1,0,1371,0.057131093,2.924702733,2038,710615.2639,0.125015644
2015,2,天津市,117.34346,2549.0574,136.91693,0.01477067,2191.14,1791.930444,1026.9,8211.513,0.8264,1,1,0.0247361,0.168,1,0,1,4.3694479,1,0,1817,0.079474146,3.958703448,2879,717080.3095,0.15602072
2016,2,天津市,27.203065,3812.431,143.67816,0.01694665,2168.21,3053.971867,1044.0,8704.203,0.8291,1,1,0.023997039,0.263,1,0,1,4.9487599,1,0,2357,0.061927518,4.550766661,3922,736500.6349,0.178560007
2017,2,天津市,32.285714,2863.619,150.47619,0.01983984,2178.39,2106.164376,1050.0,9000.146,0.8292,1,1,0.022914796,0.305,1,0,1,5.198497,1,0,3100,0.060644868,5.300536451,4226,638284.4073,0.193457605
2018,2,天津市,45.378928,1418.3235,155.26802,0.02470932,2430.22,662.2257888,1082.0,9307.052,0.8315,1,1,0.021810982,0.194,1,0,1,6.1612073,1,0,4036,0.059496176,5.995540985,5772,643986.8347,0.233742635
2019,2,天津市,47.292419,1280.9856,153.88087,0.02440206,2370.44,524.9515808,1108.0,9749.137,0.8348,1,1,0.022904277,0.183,1,0,1,6.539586,1,0,5315,0.060886755,6.141545601,5488,631664.1672,0.240720817
2020,2,天津市,42.187051,640.49278,76.940433,0.0240948,2469.15,-118.0229142,1130.0,9885.625,0.847,1,1,0.021420302,0.192,1,0,1,6.7604147,1,0,9723,0.064106104,6.859412862,7660,636336.1724,0.315226596
2021,2,天津市,0.0,0.0,0.0,0.02378754,2558.4,-761.2623026,1152.0,10534.12,0.8488,1,1,0.015257306,0.192,1,0,1,7.1459845,1,0,15173,0.066386479,8.72786893,6780,610607.458,0.350771952
2000,3,石家庄市,1.827821,0.0,6.9368877,0.0,45.68,-760.9855858,889.8,962.519,0.8488,4,2,0.015257306,0.119,0,0,0,3.087874134,0,0,19,-0.003818476,0.01,22,124240.0305,0.048453242
2001,3,石家庄市,4.8566422,158.07978,8.5016854,0.0,51.35,-602.9429521,895.94,1044.333,0.8488,4,2,0.015257306,0.119,0,0,0,3.163100797,0,0,21,-0.001054086,0.0,37,125858.0489,0.049685719
2002,3,石家庄市,7.8854633,404.42262,10.066483,0.0,58.04,-356.7032888,903.99,1140.412,0.8488,4,2,0.015257306,0.119,0,0,0,3.238327459,0,0,24,0.001710304,0.081837005,38,137500.4942,0.051125929
2003,3,石家庄市,8.303039,510.21625,23.742738,0.00725048,54.2,-250.4660125,910.51,1266.997,0.5662,4,2,0.015257306,0.307,0,0,0,3.313554121,0,0,26,0.004474693,0.046550259,49,145633.1221,0.052168157
2004,3,石家庄市,9.5648956,525.60623,28.269631,0.00847846,67.28,-234.9064719,917.55,1435.508,0.5777,4,2,0.015257306,0.347,0,0,0,7.1459845,0,0,31,0.007239083,0.054341155,39,173427.8067,0.068153557
2005,3,石家庄市,10.732298,689.81775,36.372069,0.00835145,62.11,-70.50150143,927.3,1633.608,0.3826,4,2,0.015257306,0.315,0,0,0,7.1459845,0,0,43,0.010003473,0.061245179,46,208577.2724,0.069100457
2006,3,石家庄市,12.572645,489.19638,39.979755,0.00838021,65.19,-270.822515,939.5,1853.329,0.3904,4,2,0.015257306,0.36,0,0,0,7.1459845,0,0,45,0.015376339,0.073551365,45,212411.2576,0.070529575
2007,3,石家庄市,14.240092,646.35778,52.937543,0.00857673,66.89,-113.2742751,955.05,2097.783,0.4093,4,2,0.015257306,0.369,0,0,0,0.0,0,0,53,0.018013755,0.131208352,76,235668.4085,0.043398699
2008,3,石家庄市,9.9012913,576.32957,56.90961,0.00849457,72.9,-183.1301247,966.48,2327.49,0.4121,4,2,0.015257306,0.288,0,0,0,0.69314718,0,0,60,0.016377904,0.111660558,79,245599.8278,0.045770469
2009,3,石家庄市,10.741234,621.48024,62.6472,0.01101796,71.59,-137.7891565,977.41,2585.842,0.4915,4,2,0.015257306,0.253,0,0,0,1.24245334,0,0,69,0.018543257,0.10276546,135,258567.8321,0.049513176
2010,3,石家庄市,13.269057,646.70731,70.140321,0.01081402,79.74,-112.2780998,989.16,2901.314,0.4202,4,2,0.015257306,0.263,0,0,0,1.7917595,0,0,82,0.02002299,0.177548985,176,273513.1259,0.053253847
2011,3,石家庄市,16.725328,724.11912,81.035797,0.01108491,75.59,-34.48539254,997.3,3249.472,0.4404,4,2,0.015257306,0.146,0,0,0,2.5649494,0,0,99,0.026573318,0.208234939,184,269841.4795,0.0584381
2012,3,石家庄市,18.50194,833.23088,89.008256,0.0123484,158.01,74.86045092,1005.3,3587.417,0.4513,4,2,0.015257306,0.137,1,0,0,2.6390573,1,0,111,0.030618162,0.27398398,208,286904.9303,0.060584462
2013,3,石家庄市,19.138756,867.05542,97.617624,0.02131324,166.75,108.9914618,1003.2,3924.634,0.4629,4,2,0.015257306,0.172,1,0,0,2.944439,1,0,139,0.034670293,0.389140606,289,251206.5014,0.064994202
2014,3,石家庄市,20.880086,836.10499,101.27817,0.01903487,325.62,78.21575746,1024.9,4234.681,0.4759,4,2,0.015257306,0.301,1,0,0,3.4011974,1,0,189,0.034496915,0.439145662,353,300026.9781,0.068486246
2015,3,石家庄市,22.646864,812.07671,104.09782,0.02121146,374.32,54.32524561,1028.84,4552.282,0.583,4,2,0.015257306,0.168,1,0,0,3.9512437,1,0,234,0.035643566,1.923578619,423,273538.5065,0.079647609
2016,3,石家庄市,27.071291,835.55202,112.71676,0.02201782,351.84,78.14219355,1038.0,4862.292,0.5996,4,2,0.015257306,0.27,1,0,0,4.1271344,1,0,307,0.042543182,2.640563751,679,270637.7241,0.090491983
2017,3,石家庄市,32.682425,893.89723,130.01028,0.02863829,341.98,137.1411376,973.0,5212.377,0.6164,4,2,0.015257306,0.186,1,0,0,4.7004804,1,0,391,0.044180451,3.125588278,713,292720.6742,0.096735278
2018,3,石家庄市,38.08554,889.52342,140.1222,0.03845348,364.58,133.1935373,982.0,5592.881,0.6316,4,2,0.015257306,0.127,1,0,0,5.5093883,1,0,489,0.046238556,2.623677413,1147,311086.813,0.10626911
2019,3,石家庄市,37.357414,770.87167,133.36502,0.04327176,406.63,14.36852225,1052.0,5967.604,0.6441,4,2,0.015257306,0.119,1,0,0,5.5093883,1,0,626,0.045554345,2.774351606,1419,319802.0867,0.112489448
2020,3,石家庄市,41.254789,544.78408,75.378038,0.04809004,391.01,-213.7260579,1051.5,6200.34,0.702,4,2,0.015257306,0.119,1,0,0,5.7745515,1,0,807,0.048418464,3.480680244,2199,310090.6429,0.132403333
2021,3,石家庄市,6.0989534,318.69648,17.391056,0.05290832,388.67,-442.0996673,1051.0,6609.563,0.7109,4,2,0.015257306,0.119,1,0,0,6.2205902,1,0,1024,0.058741061,3.992851001,1947,303840.1905,0.136533501
2000,4,唐山市,0.0806294,0.0,7.0751532,0.0,31.75,-760.9928135,699.79,915.047,0.7109,4,3,0.005743767,0.566,0,0,0,0.0,0,0,7,0.005475433,0.01,24,130000.9352,0.038385057
2001,4,唐山市,1.6698136,265.8616,11.211883,0.0,30.13,-495.1615239,700.15,1007.467,0.7109,4,3,0.005627227,0.566,0,0,0,0.0,0,0,9,0.006995687,0.310369663,27,135496.9061,0.040282515
2002,4,唐山市,3.2589978,300.93643,15.348613,0.0,33.7,-459.9443505,702.67,1111.236,0.7109,4,3,0.005090154,0.566,0,0,0,0.0,0,0,10,0.008515941,0.132893775,18,145548.4319,0.039670849
2003,4,唐山市,4.6723679,330.52331,23.465849,0.00557958,31.19,-430.0609862,706.28,1257.919,0.3165,4,3,0.005321407,0.534,0,0,0,0.0,0,0,14,0.010036195,0.117051915,17,179922.0099,0.039994992
2004,4,唐山市,6.0712324,397.61995,31.524723,0.00741466,33.35,-362.6982452,710.07,1445.349,0.316,4,3,0.005034512,0.476,0,0,0,0.0,0,0,16,0.011556449,0.10161005,21,212172.6021,0.040392503
2005,4,唐山市,3.7004381,453.13851,37.629494,0.0055383,36.89,-307.0061269,714.51,1663.597,0.3165,4,3,0.005495101,0.463,0,0,0,0.6931472,0,0,18,0.013076703,0.10543117,23,265815.0138,0.043629369
2006,4,唐山市,4.5393119,513.33713,41.14369,0.00864822,32.72,-246.7129809,719.12,1906.482,0.3128,4,3,0.005293703,0.517,0,0,0,1.3862944,0,0,23,0.013037527,0.117338046,34,283554.7147,0.046683194
2007,4,唐山市,4.9540336,551.95264,48.479287,0.00894826,38.99,-207.8445845,724.66,2192.454,0.326,4,3,0.005723723,0.517,0,0,0,1.0986123,0,0,31,0.013873623,0.137283718,38,341343.3932,0.045965174
2008,4,唐山市,7.203219,585.77206,74.51639,0.00796506,35.23,-173.0447755,729.41,2479.665,0.3351,4,3,0.00577791,0.568,0,0,0,1.3862944,0,0,37,0.016555192,0.112195119,41,331783.2639,0.047779191
2009,4,唐山市,9.57531,634.31803,64.61507,0.00745448,43.16,-124.8945057,733.9,2759.867,0.3343,4,3,0.00607408,0.493,0,0,0,1.0986123,0,0,43,0.016881966,0.118494187,86,393650.4038,0.047555901
2010,4,唐山市,12.152626,696.14286,68.204082,0.00773625,43.79,-62.96110211,735.0,3121.41,0.3263,4,3,0.005917735,0.495,0,0,0,2.9957323,0,0,46,0.018577196,0.156838951,101,401184.4356,0.05606495
2011,4,唐山市,14.970208,747.89309,114.50414,0.00664376,50.15,-9.469680393,737.1,3486.615,0.3241,4,3,0.006480107,0.246,0,0,0,2.3025851,0,0,52,0.026589343,0.164829854,116,383508.8771,0.055670561
2012,4,唐山市,16.581289,805.12807,114.29091,0.00857741,90.99,47.72588764,741.8,3849.223,0.536,4,3,0.006733343,0.187,0,0,0,1.6094379,0,0,62,0.029432894,0.173895415,96,402509.7299,0.053388121
2013,4,唐山市,18.546094,855.52322,109.03073,0.00806618,90.05,97.89744497,738.7,4168.708,0.5497,4,3,0.00717785,0.231,0,0,0,3.1354942,0,0,72,0.029429187,0.349848892,201,371345.0652,0.062233553
2014,4,唐山市,18.321827,786.72199,97.450876,0.00767386,213.79,28.70595556,753.2,4381.313,0.5621,4,3,0.006596394,0.595,0,0,0,2.7080502,1,0,87,0.027140092,0.288135695,193,481432.1536,0.059608535
2015,4,唐山市,18.411571,701.30206,118.0195,0.00830313,208.35,-55.86765601,754.96,4626.666,0.5831,4,3,0.006638665,0.282,0,0,0,3.6375862,1,0,108,0.027789251,0.350542672,217,457618.8573,0.064368994
2016,4,唐山市,22.105263,719.18158,125.65789,0.00867161,212.94,-37.68480143,760.0,4936.652,0.6041,4,3,0.006202916,0.67,0,0,0,3.8918203,1,0,131,0.033155827,0.52904655,289,445771.4978,0.069022598
2017,4,唐山市,25.562914,730.16689,126.35762,0.00715803,234.26,-26.65641075,755.0,5242.725,0.6164,4,3,0.005362607,0.674,0,0,0,4.2046926,1,0,165,0.030516625,0.966996445,338,454634.885,0.072796928
2018,4,唐山市,29.023747,702.49208,132.18997,0.00865883,212.22,-54.06411434,758.0,5614.958,0.6314,4,3,0.005536118,0.551,0,0,0,5.170484,1,0,212,0.029346999,1.510414694,595,438898.737,0.083743788
2019,4,唐山市,34.52381,691.91667,128.83598,0.0088962,233.51,-64.71979577,756.0,6024.85,0.6432,4,3,0.005783915,0.566,0,0,0,5.365976,1,0,285,0.030171171,1.449963403,636,443690.8347,0.085683294
2020,4,唐山市,38.253986,411.43769,73.915992,0.00913357,241.45,-347.0496993,753.5,6289.943,0.6432,4,3,0.005728942,0.566,0,0,0,5.9162021,1,0,375,0.031865055,1.654597902,1164,429777.0684,0.099038433
2021,4,唐山市,16.828229,130.95872,18.996005,0.00937093,235.79,-629.5593216,751.0,6711.369,0.6542,4,3,0.005439027,0.566,0,0,0,5.8692969,1,0,490,0.041619835,1.779658549,833,422995.9076,0.09708712
2000,5,秦皇岛市,3.0733529,0.0,2.8254388,0.0,31.17,-761.1329552,266.29,231.595,0.6542,4,3,0.005439027,0.069,0,0,0,1.814715423,0,0,1,0.004427472,0.01,11,37610.06696,0.04513166
2001,5,秦皇岛市,4.2940343,322.47204,10.096943,0.0,31.88,-438.6170624,268.2,250.1226,0.6542,4,3,0.005439027,0.069,0,0,0,1.936314085,0,0,3,0.006331967,0.01,10,39130.10287,0.046103458
2002,5,秦皇岛市,5.5147157,333.72403,17.368446,0.0,29.99,-427.088393,270.46,270.3825,0.6542,4,3,0.005439027,0.069,0,0,0,2.057912746,0,0,3,0.008236462,0.01,13,41541.47005,0.047129509
2003,5,秦皇岛市,5.876395,382.2789,30.882798,0.0069808,30.59,-378.0536088,273.29,294.1762,0.4578,4,3,0.005439027,0.067,0,0,0,2.179511408,0,0,4,0.010140956,0.01,28,51912.89653,0.048369142
2004,5,秦皇岛市,10.679102,430.34588,41.614277,0.00846561,32.32,-329.5803919,275.82,322.4171,0.48,4,3,0.005439027,0.074,0,0,0,5.8692969,0,0,4,0.012045451,0.01,17,59636.54426,0.063471579
2005,5,秦皇岛市,9.1764643,481.98033,41.666667,0.0103831,34.96,-277.9933146,278.64,361.4296,0.4036,4,3,0.005439027,0.072,0,0,0,5.8692969,0,0,5,0.013949946,0.01,17,71746.46681,0.063965404
2006,5,秦皇岛市,8.0161118,474.45997,42.300456,0.00952045,39.73,-285.4922497,280.54,396.1268,0.4053,4,3,0.005439027,0.077,0,0,0,1.3862944,0,0,5,0.013923087,0.01,33,78741.22334,0.046245911
2007,5,秦皇岛市,10.000424,608.37245,48.222795,0.01032396,37.16,-151.4406771,283.31,435.7395,0.4222,4,3,0.005439027,0.071,0,0,0,0.69314718,0,0,6,0.016179319,0.01,31,89433.90362,0.044014008
2008,5,秦皇岛市,11.226342,610.77488,53.150254,0.0098905,37.16,-148.8440025,285.85,474.956,0.4201,4,3,0.005439027,0.071,0,0,0,2.1972246,0,0,6,0.016881533,0.01,31,88468.94423,0.050228414
2009,5,秦皇岛市,13.816669,703.93747,69.816182,0.00977654,41.49,-55.0991616,287.24,508.2029,0.4335,4,3,0.005439027,0.076,0,0,0,1.3862944,0,0,8,0.019779997,0.01,35,104682.6216,0.047798416
2010,5,秦皇岛市,13.670309,742.37253,83.628165,0.01210084,44.0,-16.16893403,288.3,555.4658,0.4319,4,3,0.005439027,0.084,0,0,0,0.0,0,0,8,0.021949322,0.042261458,57,108679.575,0.043323471
2011,5,秦皇岛市,18.094582,820.93168,110.66943,0.01305221,43.26,63.39084118,289.8,624.3436,0.4343,4,3,0.005439027,0.054,0,0,0,2.6390573,0,0,9,0.029585061,0.017467249,59,108926.0999,0.055785834
2012,5,秦皇岛市,19.230769,887.30769,100.61813,0.01164179,96.8,129.3432817,291.2,685.5292,0.4347,4,3,0.005439027,0.045,1,0,0,3.0445224,1,0,11,0.030347342,0.020173492,50,116570.1012,0.057480263
2013,5,秦皇岛市,20.157157,953.87086,117.219,0.01608187,102.21,196.4942409,292.7,733.7219,0.4333,4,3,0.005439027,0.06,1,0,0,2.3978953,1,0,12,0.033924758,0.013297872,87,116076.1362,0.056410073
2014,5,秦皇岛市,20.670959,902.67028,110.47103,0.01716359,194.21,145.0791581,295.1,770.408,0.4359,4,3,0.005439027,0.115,1,0,0,3.2958369,1,0,15,0.033034522,0.013079304,71,117053.3193,0.059531196
2015,5,秦皇岛市,21.64795,810.29969,116.35773,0.01843558,212.81,53.00839376,295.64,812.7805,0.5407,4,3,0.005439027,0.613,1,0,0,3.6109179,1,0,17,0.033347119,0.013567294,100,111312.8087,0.061390774
2016,5,秦皇岛市,30.201342,815.46644,119.46309,0.01649101,206.63,58.35041771,298.0,869.6751,0.5613,4,3,0.005439027,0.106,1,0,0,3.9318256,1,0,23,0.038990163,0.013455328,128,111586.7454,0.064644534
2017,5,秦皇岛市,32.214765,804.67114,134.56376,0.01668101,214.98,48.15152626,298.0,933.1614,0.5788,4,3,0.005439027,0.092,1,0,0,4.0253517,1,0,35,0.037409809,0.033118066,188,122127.0138,0.065829239
2018,5,秦皇岛市,36.666667,777.01333,137.66667,0.01675578,199.88,20.66414998,300.0,1001.282,0.5942,4,3,0.005439027,0.076,1,0,0,4.6051702,1,0,43,0.035923438,0.027948575,193,117942.6281,0.067895196
2019,5,秦皇岛市,42.857143,739.72093,135.21595,0.01700143,247.22,-16.64926996,301.0,1068.368,0.6072,4,3,0.005439027,0.07,1,0,0,4.7706846,1,0,56,0.036808009,0.119956913,200,115505.9396,0.069442046
2020,5,秦皇岛市,48.215421,480.91047,77.22964,0.01724709,238.77,-277.4317768,300.5,1113.24,0.6397,4,3,0.005439027,0.069,1,0,0,5.0814044,1,0,74,0.037755297,0.34034176,361,117199.1764,0.074888353
2021,5,秦皇岛市,15.743333,222.1,19.243333,0.01749275,210.29,-538.4845759,300.0,1188.94,0.6495,4,3,0.005439027,0.069,1,0,0,5.2203558,1,0,94,0.046371657,0.57124208,296,122451.1941,0.077784081
2000,6,邯郸市,0.37613761,0.0,2.4833039,0.0,27.55,-761.1652296,838.48,508.096,0.6495,4,3,0.005579776,0.182,0,0,0,0.0,0,0,1,0.005889196,0.01,14,119553.5262,0.038275269
2001,6,邯郸市,0.69559296,211.42207,4.7718309,0.0,28.49,-549.8120615,844.33,553.8246,0.6495,4,3,0.005392141,0.182,0,0,0,0.0,0,0,1,0.006813846,0.010486577,8,116835.951,0.038410677
2002,6,邯郸市,1.0150483,140.3445,7.0603579,0.0,30.15,-620.7471929,849.93,609.2071,0.6495,4,3,0.00516121,0.182,0,0,0,0.0,0,0,1,0.007738496,0.042412367,14,127756.389,0.038903439
2003,6,邯郸市,4.335274,176.89274,11.707055,0.00496853,37.79,-584.0259613,857.09,664.645,0.1982,4,3,0.005005803,0.242,0,0,0,0.0,0,0,3,0.008663146,0.079579124,14,131309.2768,0.039332739
2004,6,邯郸市,3.5922048,398.4815,16.381108,0.00697991,31.96,-362.4306311,863.35,738.4205,0.2014,4,3,0.004868628,0.264,0,0,0,0.0,0,0,3,0.009587796,0.070225421,5,159260.9081,0.039369295
2005,6,邯郸市,5.2502324,483.49839,21.615104,0.00672298,33.57,-277.2665629,871.43,832.9384,0.207,4,3,0.004809319,0.25,0,0,0,0.0,0,0,3,0.010512446,0.057788369,20,189582.7278,0.039803682
2006,6,邯郸市,14.133602,267.16735,24.299484,0.00673854,33.8,-493.2702675,884.12,924.5616,0.3133,4,3,0.004920017,0.278,0,0,0,0.0,0,0,3,0.012220457,0.037228101,23,203046.7574,0.040192858
2007,6,邯郸市,7.483578,297.4865,30.986434,0.00852916,42.08,-462.7671532,896.36,1028.112,0.3306,4,3,0.004762892,0.284,0,0,0,0.0,0,0,4,0.01133309,0.025356122,25,215564.6187,0.039950767
